City_ID,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Lat,Lng,Hotel Name
1,Praya,CV,77.54,73,20,12.66,few clouds,14.9215,-23.5087,LT Aparthotel
2,Springbok,ZA,65.98,14,32,6.15,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
3,Hilo,US,75.79,94,90,3.44,mist,19.7297,-155.09,Hilo Hawaiian Hotel
7,Atuona,PF,77.99,74,9,17.31,clear sky,-9.8,-139.0333,Villa Enata
9,Vao,NC,71.31,86,91,9.98,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
11,Port Elizabeth,ZA,61.09,88,75,10.36,broken clouds,-33.918,25.5701,39 On Nile Guest House
13,New Norfolk,AU,62.89,40,98,9.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
19,Vaini,TO,73.56,88,20,3.44,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Arraial Do Cabo,BR,66.16,89,75,5.75,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
22,Bethel,US,60.67,93,90,0.0,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
25,Luderitz,,70.05,49,98,3.13,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
26,Lagoa,PT,69.04,71,100,5.7,overcast clouds,39.05,-27.9833,Casa Das Faias
28,Westport,US,64.15,94,1,1.01,clear sky,41.1415,-73.3579,The Westport Inn
29,Busselton,AU,64.04,53,68,5.59,broken clouds,-33.65,115.3333,Observatory Guest House
30,Rikitea,PF,74.21,74,74,7.45,broken clouds,-23.1203,-134.9692,People ThankYou
34,Asyut,EG,79.27,41,76,8.63,broken clouds,27.181,31.1837,Florence Hotel Assiut
38,Cape Town,ZA,62.1,91,0,6.91,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
41,Paco De Arcos,PT,70.5,57,0,1.01,clear sky,38.6957,-9.2914,HI Oeiras – Pousada de Juventude
42,Hobart,AU,63.23,59,75,5.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
43,Jamestown,US,63.99,89,90,3.0,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Ponta Do Sol,PT,68.72,77,23,1.19,few clouds,32.6667,-17.1,Hotel do Campo
46,Broken Hill,AU,62.31,55,40,12.66,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
47,Port Alfred,ZA,63.55,80,40,1.52,scattered clouds,-33.5906,26.891,The Halyards Hotel
51,Saint-Leu,RE,79.63,82,51,3.6,light rain,-21.15,55.2833,La Caz Oceane
55,Bilma,NE,77.63,29,6,16.62,clear sky,18.6853,12.9164,Expeditions Ténére voyages
58,Aba,NG,76.87,94,88,3.4,overcast clouds,5.1066,7.3667,Rosies Hotel Limited
59,Kahului,US,78.84,81,40,28.77,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
61,Ballina,AU,67.96,77,90,16.11,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
78,Pisco,PE,60.85,82,20,4.61,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
81,Marsa Matruh,EG,74.19,75,79,7.0,broken clouds,31.3525,27.2453,Beau Site
83,Kipushi,CD,69.87,44,30,9.95,scattered clouds,-11.7667,27.2333,Villa Madimba
86,Axim,GH,77.5,91,70,6.55,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
87,Nelson Bay,AU,69.1,68,95,4.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
89,Standerton,ZA,63.59,27,96,2.95,overcast clouds,-26.9337,29.2415,Terrace Lofts
91,Cayenne,GF,77.09,88,100,0.0,light rain,4.9333,-52.3333,Hôtel Le Dronmi
93,Avarua,CK,75.25,69,20,10.36,few clouds,-21.2078,-159.775,Paradise Inn
95,Ribeira Grande,PT,69.51,76,92,11.83,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
96,Sao Miguel Do Araguaia,BR,76.75,71,54,3.49,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
97,Sao Filipe,CV,77.97,73,96,9.84,overcast clouds,14.8961,-24.4956,Hotel Xaguate
100,Puerto Ayora,EC,68.56,94,87,5.01,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
102,East London,ZA,63.54,94,75,4.61,broken clouds,-33.0153,27.9116,Tu Casa
107,Hermanus,ZA,60.91,68,100,2.84,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
110,Hasaki,JP,64.8,87,100,16.37,light rain,35.7333,140.8333,Hotel Sunrise Choshi
117,Ambalavao,MG,75.18,50,61,1.52,broken clouds,-21.8333,46.9333,Hôtel Le Tropik
120,Sambava,MG,77.34,74,91,9.98,light rain,-14.2667,50.1667,Melrose
121,Kaeo,NZ,60.33,59,21,8.5,few clouds,-35.1,173.7833,Bushido Lodge
125,Broome,US,62.56,91,90,1.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
129,Talara,PE,65.57,81,84,16.75,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
133,Salta,AR,65.57,78,0,1.01,clear sky,-24.7859,-65.4117,Hotel Alejandro I
134,Ellisras,ZA,75.6,19,3,1.7,clear sky,-23.6649,27.7443,Lapa le le guesthouse
135,Namibe,AO,70.79,76,35,3.98,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
136,Grand Gaube,MU,79.38,75,26,5.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
138,Isangel,VU,73.51,88,100,6.91,moderate rain,-19.55,169.2667,Tanna Lodge
143,Vilhena,BR,73.24,77,5,3.33,clear sky,-12.7406,-60.1458,Hotel Mirage
144,Puerto Del Rosario,ES,71.28,73,20,8.05,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
151,Port Augusta,AU,64.54,30,94,23.98,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
153,Cidreira,BR,64.26,95,47,14.65,scattered clouds,-30.1811,-50.2056,Hotel Castelo
154,Kizukuri,JP,67.1,53,9,9.78,clear sky,40.8061,140.3861,Hotel memory
161,Guerrero Negro,MX,65.23,56,0,17.0,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
164,Sainte-Maxime,FR,62.01,64,83,7.05,broken clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
167,Ilebo,CD,73.44,93,91,0.67,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
170,Shache,CN,63.3,12,32,6.67,scattered clouds,38.4167,77.2406,Delong Hotel
171,Upata,VE,76.19,97,16,2.15,few clouds,8.0086,-62.3989,Posada Villa Nela
173,Bani,DO,77.86,85,100,3.42,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
178,Camalu,MX,60.91,51,0,3.0,clear sky,30.85,-116.0667,La Cueva del Pirata
179,Chokwe,MZ,77.95,41,1,9.98,clear sky,-24.5333,32.9833,Complexo Sonho Real
181,Maceio,BR,72.84,100,20,3.44,few clouds,-9.6658,-35.7353,Poutur Pousada
182,Jieshi,CN,78.94,85,100,23.09,light rain,22.8134,115.8257,Yuehai Hotel
183,Nantucket,US,61.97,94,20,0.0,mist,41.2835,-70.0995,Jared Coffin House
189,San Cristobal,VE,64.49,97,67,2.84,broken clouds,7.7669,-72.225,Posada Villaven C.A.
190,Port Shepstone,ZA,69.03,82,45,7.18,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
191,Alofi,NU,75.09,69,17,2.3,few clouds,-19.0595,-169.9187,Taloa Heights
196,Cap Malheureux,MU,79.47,75,26,5.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
200,Beihai,CN,69.8,75,100,39.73,overcast clouds,21.4833,109.1,21 Degree Hostel
201,Sao Jose Da Coroa Grande,BR,74.43,79,41,4.14,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
205,Coahuayana,MX,76.64,94,95,3.42,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
214,Zaraza,VE,73.36,97,19,0.56,light rain,9.3503,-65.3245,Hotel Zaraza
216,Dyersburg,US,69.71,94,1,3.44,clear sky,36.0345,-89.3856,Hampton Inn Dyersburg
217,Natagaima,CO,76.28,74,95,1.83,overcast clouds,3.6206,-75.0941,Mi Hotel El Gran Palacio- Nury
219,Mahebourg,MU,79.25,83,75,5.75,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
230,Chiredzi,ZW,76.53,25,0,3.4,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
233,Carnarvon,AU,78.87,44,0,14.97,clear sky,-24.8667,113.6333,Hospitality Carnarvon
235,Dalhousie,IN,67.86,32,0,5.03,clear sky,32.5333,75.9833,Hotel Mount View
236,Pimentel,PE,62.85,87,100,13.27,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
240,Hwange,ZW,74.66,18,0,4.85,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
241,Carupano,VE,77.99,90,30,5.73,scattered clouds,10.6678,-63.2585,Hotel La dorada
246,Luoyang,CN,69.22,47,10,1.12,clear sky,34.6836,112.4536,易家国际青年旅舍
250,Comodoro Rivadavia,AR,60.66,33,0,18.41,clear sky,-45.8667,-67.5,Austral Hotel
255,Tunceli,TR,66.49,34,44,4.0,scattered clouds,39.1083,39.5471,Grand Hotel Şaroğlu
256,Calhoun,US,62.35,74,75,4.61,broken clouds,42.2506,-85.0005,Quality Inn
258,Chapadinha,BR,76.69,78,67,5.14,broken clouds,-3.7417,-43.3603,Chapadinhense Hotel
260,Abnub,EG,71.82,42,75,8.19,broken clouds,27.2696,31.1511,Romany Adly Gad
264,Geraldton,AU,73.81,35,0,18.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
265,Mkushi,ZM,70.9,36,0,9.91,clear sky,-13.6202,29.3939,Mkushi Police Club
267,Quatre Cocos,MU,79.09,82,37,9.82,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
272,Jacobina,BR,67.14,97,50,3.96,scattered clouds,-11.1806,-40.5183,HOSTEL JACOBINA
273,La Crosse,US,60.93,90,86,2.64,overcast clouds,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
276,Uong Bi,VN,69.78,83,100,18.63,overcast clouds,21.0333,106.7833,khach san Trung lien
277,Airai,TL,74.01,58,73,2.44,broken clouds,-8.9266,125.4092,Juvinal Martin
278,Little Current,CA,62.69,96,98,4.61,overcast clouds,45.9793,-81.9248,Hawberry Motel
284,Nara,JP,79.97,71,74,6.96,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
291,Gibraleon,ES,63.01,69,0,1.63,clear sky,37.3763,-6.969,Finca Caja del Agua
292,Kutum,SD,71.28,72,100,14.5,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
295,Maralal,KE,66.13,55,90,4.94,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
297,Ofunato,JP,63.55,85,98,10.78,overcast clouds,39.0717,141.7167,Ofunato Hot Spring
298,Najran,SA,75.85,14,98,4.81,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
302,Linhares,BR,68.4,94,86,1.32,overcast clouds,-19.3911,-40.0722,Hotel Conceição
305,Santa Maria Del Oro,MX,61.18,78,100,3.11,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
306,Waddan,LY,65.62,57,0,3.74,clear sky,29.1614,16.139,محل الشريف محمد العايب
309,Mwene-Ditu,CD,71.4,82,85,2.06,overcast clouds,-7.0,23.45,Hôtel Kamas
312,Roma,US,63.84,92,1,4.61,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
313,Tabou,CI,76.05,94,95,6.04,overcast clouds,4.423,-7.3528,hotêl doufoulougou
316,Casablanca,MA,62.74,86,4,2.35,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
319,Faya,SA,66.31,15,50,10.56,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
323,Tamandare,BR,73.67,82,41,3.33,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
326,Semnan,IR,66.83,16,23,3.38,few clouds,35.5729,53.3971,Semnan Tourist Hotel
327,Tomakomai,JP,66.72,55,20,9.22,few clouds,42.6369,141.6033,Hotel Wing International Tomakomai
330,Lakes Entrance,AU,66.58,60,69,14.23,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
