City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,46.47,68,99,10.38,overcast clouds
1,Praya,CV,14.9215,-23.5087,77.54,73,20,12.66,few clouds
2,Springbok,ZA,-29.6643,17.8865,65.98,14,32,6.15,scattered clouds
3,Hilo,US,19.7297,-155.09,75.79,94,90,3.44,mist
4,Kapaa,US,22.0752,-159.319,82.38,79,75,5.01,light rain
5,Albany,US,42.6001,-73.9662,57.81,93,1,2.13,clear sky
6,Bluff,NZ,-46.6,168.3333,46.83,68,100,10.11,overcast clouds
7,Atuona,PF,-9.8,-139.0333,77.99,74,9,17.31,clear sky
8,Kodiak,US,57.79,-152.4072,42.31,87,90,0.0,light rain
9,Vao,NC,-22.6667,167.4833,71.31,86,91,9.98,overcast clouds
10,Shitanjing,CN,39.2342,106.3439,54.57,22,71,12.17,broken clouds
11,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,75,10.36,broken clouds
12,Faanui,PF,-16.4833,-151.75,80.67,75,93,10.4,overcast clouds
13,New Norfolk,AU,-42.7826,147.0587,62.89,40,98,9.1,overcast clouds
14,Tasiilaq,GL,65.6145,-37.6368,30.36,56,3,4.34,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,14.97,clear sky
16,Lebu,CL,-37.6167,-73.65,52.03,88,46,3.69,scattered clouds
17,Saint-Philippe,RE,-21.3585,55.7679,80.15,84,52,8.32,broken clouds
18,Lasa,IT,46.6166,10.7002,43.68,93,67,6.44,broken clouds
19,Vaini,TO,-21.2,-175.2,73.56,88,20,3.44,few clouds
20,Barrow,US,71.2906,-156.7887,28.42,74,90,24.16,light snow
21,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,89,75,5.75,broken clouds
22,Bethel,US,41.3712,-73.414,60.67,93,90,0.0,overcast clouds
23,Parrsboro,CA,45.4001,-64.332,59.68,74,89,0.89,overcast clouds
24,Aklavik,CA,68.2191,-135.0107,23.83,95,100,13.27,light snow
25,Luderitz,NA,-26.6481,15.1594,70.05,49,98,3.13,overcast clouds
26,Lagoa,PT,39.05,-27.9833,69.04,71,100,5.7,overcast clouds
27,Ha Giang,VN,22.8333,104.9833,83.48,55,86,8.68,overcast clouds
28,Westport,US,41.1415,-73.3579,64.15,94,1,1.01,clear sky
29,Busselton,AU,-33.65,115.3333,64.04,53,68,5.59,broken clouds
30,Rikitea,PF,-23.1203,-134.9692,74.21,74,74,7.45,broken clouds
31,Dawson Creek,CA,55.7666,-120.2362,40.35,60,1,6.91,clear sky
32,Skibbereen,IE,51.55,-9.2667,48.0,89,28,3.13,scattered clouds
33,Cairns,AU,-16.9167,145.7667,86.11,69,40,8.05,scattered clouds
34,Asyut,EG,27.181,31.1837,79.27,41,76,8.63,broken clouds
35,Ushuaia,AR,-54.8,-68.3,53.26,40,90,13.8,overcast clouds
36,Mandan,US,46.8267,-100.8896,44.58,86,90,11.5,overcast clouds
37,Velikiy Ustyug,RU,60.7644,46.3106,43.21,75,98,6.93,overcast clouds
38,Cape Town,ZA,-33.9258,18.4232,62.1,91,0,6.91,clear sky
39,Klaksvik,FO,62.2266,-6.589,52.72,94,100,28.23,overcast clouds
40,Provideniya,RU,64.3833,-173.3,33.91,64,90,6.71,overcast clouds
41,Paco De Arcos,PT,38.6957,-9.2914,70.5,57,0,1.01,clear sky
42,Hobart,AU,-42.8794,147.3294,63.23,59,75,5.01,broken clouds
43,Jamestown,US,42.097,-79.2353,63.99,89,90,3.0,overcast clouds
44,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,23.02,broken clouds
45,Ponta Do Sol,PT,32.6667,-17.1,68.72,77,23,1.19,few clouds
46,Broken Hill,AU,-31.95,141.4333,62.31,55,40,12.66,scattered clouds
47,Port Alfred,ZA,-33.5906,26.891,63.55,80,40,1.52,scattered clouds
48,Norman Wells,CA,65.282,-126.8329,35.64,75,90,8.05,overcast clouds
49,Thompson,CA,55.7435,-97.8558,39.36,100,90,4.61,overcast clouds
50,Zhangjiakou,CN,40.81,114.8794,56.71,59,68,1.95,broken clouds
51,Saint-Leu,RE,-21.15,55.2833,79.63,82,51,3.6,light rain
52,Okato,NZ,-39.2,173.8833,53.42,64,98,12.08,overcast clouds
53,Saldanha,ZA,-33.0117,17.9442,53.65,87,100,1.5,overcast clouds
54,Yellowknife,CA,62.456,-114.3525,44.42,80,90,12.66,overcast clouds
55,Bilma,NE,18.6853,12.9164,77.63,29,6,16.62,clear sky
56,Iqaluit,CA,63.7506,-68.5145,35.33,93,90,23.0,light rain
57,Pringsewu,ID,-5.3582,104.9744,85.26,68,81,4.41,broken clouds
58,Aba,NG,5.1066,7.3667,76.87,94,88,3.4,overcast clouds
59,Kahului,US,20.8947,-156.47,78.84,81,40,28.77,scattered clouds
60,Severnyy,RU,50.677,36.5532,44.64,87,0,4.47,clear sky
61,Ballina,AU,-28.8667,153.5667,67.96,77,90,16.11,overcast clouds
62,Clyde River,CA,70.4692,-68.5914,32.34,99,100,8.7,snow
63,Tazovskiy,RU,67.4667,78.7,29.71,61,100,18.81,overcast clouds
64,Ostrovnoy,RU,68.0531,39.5131,40.87,92,100,13.96,overcast clouds
65,Salalah,OM,17.0151,54.0924,80.69,74,0,3.44,clear sky
66,Yeppoon,AU,-23.1333,150.7333,87.58,71,7,15.57,clear sky
67,Tiksi,RU,71.6872,128.8694,19.76,91,79,11.45,broken clouds
68,General Roca,AR,-39.0333,-67.5833,57.6,33,22,14.03,light rain
69,Mataura,NZ,-46.1927,168.8643,44.55,76,100,3.74,overcast clouds
70,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,12.66,few clouds
71,Nikolskoye,RU,59.7035,30.7861,44.87,93,100,3.53,light rain
